"Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3"
"12/2/2007","00:00:00",1.64985,0,241.64,5.6,0,0,18
"12/2/2007","00:01:00",1.64915,0,240.94,5.4,0,0,18
"12/2/2007","00:02:00",1.6482,0,240.62,5.4,0,0,17
"12/2/2007","00:03:00",1.6475,0,240.84,5.4,0,0,18
"12/2/2007","00:04:00",1.6468,0,240.68,5.4,0,0,18
"12/2/2007","00:05:00",1.328,0,240.7,5.4,0,0,18
"12/2/2007","00:06:00",1.338,0,241.75,5.4,0,0,17
"12/2/2007","00:07:00",1.336,0,241.61,5.4,0,0,18
"12/2/2007","00:08:00",1.64505,0,241.72,5.6,0,0,18
"12/2/2007","00:09:00",1.64735,0.094,241.62,6,0,0,18
"12/2/2007","00:10:00",1.446,0.096,241.99,6,0,0,18
"12/2/2007","00:11:00",1.436,0.092,241.37,5.8,0,0,18
"12/2/2007","00:12:00",1.446,0.098,242.39,6,0,0,18
"12/2/2007","00:13:00",1.65095,0.098,242.42,6,0,0,18
"12/2/2007","00:14:00",1.6513,0.1,242.79,6,0,0,18
"12/2/2007","00:15:00",1.6514,0.098,242.36,5.8,0,0,18
"12/2/2007","00:16:00",1.44,0.098,242.51,5.8,0,0,18
"12/2/2007","00:17:00",1.436,0.096,242.27,5.8,0,0,18
"12/2/2007","00:18:00",1.444,0.1,243.08,5.8,0,0,18
"12/2/2007","00:19:00",1.6525,0.102,243.16,5.8,0,0,18
"12/2/2007","00:20:00",1.442,0.1,243.01,5.8,0,0,18
"12/2/2007","00:21:00",1.6534,0.1,242.75,5.8,0,0,18
"12/2/2007","00:22:00",1.65385,0.1,242.85,5.8,0,0,18
"12/2/2007","00:23:00",1.6521,0,240.05,5.6,0,0,18
"12/2/2007","00:24:00",1.318,0,240.08,5.4,0,0,18
"12/2/2007","00:25:00",1.316,0,239.8,5.4,0,0,17
"12/2/2007","00:26:00",1.6459,0,239.99,5.4,0,0,18
"12/2/2007","00:27:00",1.64575,0,241.5,5.8,0,0,18
"12/2/2007","00:28:00",1.416,0.084,241.74,5.8,0,0,18
"12/2/2007","00:29:00",1.414,0.084,241.47,5.8,0,2,17
"12/2/2007","00:30:00",1.402,0.078,240.37,5.8,0,1,18
"12/2/2007","00:31:00",1.64645,0.122,239.85,6,0,2,18
"12/2/2007","00:32:00",1.64815,0.18,239.76,6.2,0,1,17
"12/2/2007","00:33:00",1.65015,0.184,240.43,6.2,0,1,18
"12/2/2007","00:34:00",1.6521,0.186,240.87,6.2,0,2,18
"12/2/2007","00:35:00",1.6542,0.19,241.37,6.2,0,1,18
"12/2/2007","00:36:00",1.6562,0.188,241.24,6.2,0,2,18
"12/2/2007","00:37:00",1.492,0.192,242.21,6.2,0,1,18
"12/2/2007","00:38:00",1.66005,0.192,242.24,6.2,0,1,18
"12/2/2007","00:39:00",1.6625,0.196,243.01,6.2,0,2,18
"12/2/2007","00:40:00",1.66545,0.192,242.29,6.2,0,1,18
"12/2/2007","00:41:00",1.6693,0.192,242.19,6.2,0,1,18
"12/2/2007","00:42:00",1.476,0.188,241.6,6,0,2,17
"12/2/2007","00:43:00",1.67685,0.172,243.79,6,0,1,19
"12/2/2007","00:44:00",1.67935,0.092,243.51,5.8,0,1,18
"12/2/2007","00:45:00",1.68195,0.094,244.11,5.8,0,2,18
"12/2/2007","00:46:00",1.6864,0.19,243.69,6.2,0,1,18
"12/2/2007","00:47:00",1.53,0.228,243.27,6.2,0,1,18
"12/2/2007","00:48:00",1.6949,0.226,242.99,6.2,0,1,18
"12/2/2007","00:49:00",1.69655,0.222,242.13,6.2,0,2,18
"12/2/2007","00:50:00",1.69775,0.216,240.89,6.2,0,1,18
"12/2/2007","00:51:00",1.69905,0.214,240.51,6.2,0,1,18
"12/2/2007","00:52:00",1.488,0.214,240.59,6.2,0,1,18
"12/2/2007","00:53:00",1.70105,0.212,240.19,6.2,0,1,17
"12/2/2007","00:54:00",1.7017,0.208,239.42,6.2,0,2,18
"12/2/2007","00:55:00",1.70265,0.212,240.08,6.2,0,1,17
"12/2/2007","00:56:00",1.7035,0.21,239.77,6.2,0,1,18
"12/2/2007","00:57:00",1.70435,0.21,239.52,6.2,0,1,18
"12/2/2007","00:58:00",1.474,0.212,239.94,6.2,0,1,17
"12/2/2007","00:59:00",1.70585,0.212,240.01,6.2,0,1,18
"12/2/2007","01:00:00",1.7061,0.188,239.44,6,0,2,18
"12/2/2007","01:01:00",1.7043,0.074,238.76,5.6,0,1,17
"12/2/2007","01:02:00",1.37,0.076,238.91,5.6,0,1,17
"12/2/2007","01:03:00",1.374,0.076,239.3,5.6,0,1,18
"12/2/2007","01:04:00",1.378,0.078,239.77,5.6,0,1,18
"12/2/2007","01:05:00",1.348,0,240.14,5.6,0,1,17
"12/2/2007","01:06:00",1.32,0,240.71,5.4,0,0,18
"12/2/2007","01:07:00",1.322,0,240.89,5.4,0,0,18
"12/2/2007","01:08:00",0.766,0,241.46,3.8,0,0,9
"12/2/2007","01:09:00",0.254,0,242.01,1.2,0,0,0
"12/2/2007","01:10:00",0.254,0,242.96,1.2,0,0,0
"12/2/2007","01:11:00",1.59995,0,242.02,1.2,0,0,0
"12/2/2007","01:12:00",0.254,0,242.79,1.2,0,0,0
"12/2/2007","01:13:00",0.254,0,242.83,1.2,0,0,0
"12/2/2007","01:14:00",1.50825,0,242.68,1.2,0,0,0
"12/2/2007","01:15:00",0.31,0,242.8,1.4,0,0,0
"12/2/2007","01:16:00",0.33,0.082,242.6,1.4,0,0,0
"12/2/2007","01:17:00",0.332,0.082,242.66,1.4,0,0,0
"12/2/2007","01:18:00",1.3921,0.084,243.36,1.4,0,0,0
"12/2/2007","01:19:00",0.39,0.08,242.7,1.6,0,0,0
"12/2/2007","01:20:00",0.398,0.086,243.86,1.6,0,0,0
"12/2/2007","01:21:00",1.3088,0.084,243.31,1.4,0,0,0
"12/2/2007","01:22:00",0.328,0.086,243.58,1.4,0,0,0
"12/2/2007","01:23:00",1.25125,0.088,243.77,1.4,0,0,0
"12/2/2007","01:24:00",0.416,0.184,243.14,2,0,0,0
"12/2/2007","01:25:00",1.20095,0.216,242.2,2,0,0,0
"12/2/2007","01:26:00",0.426,0.21,241.42,2,0,0,0
"12/2/2007","01:27:00",1.1446,0.122,241.23,1.6,0,0,0
"12/2/2007","01:28:00",1.11545,0.112,242.48,1.6,0,0,0
"12/2/2007","01:29:00",1.0866,0.112,242.35,1.6,0,0,0
"12/2/2007","01:30:00",0.356,0.114,242.95,1.6,0,0,0
"12/2/2007","01:31:00",1.02975,0.11,242.28,1.6,0,0,0
"12/2/2007","01:32:00",0.352,0.112,242.38,1.6,0,0,0
"12/2/2007","01:33:00",0.973,0.106,241.32,1.6,0,0,0
"12/2/2007","01:34:00",0.94485,0.104,240.8,1.6,0,0,0
"12/2/2007","01:35:00",0.91655,0.106,241.34,1.6,0,0,0
"12/2/2007","01:36:00",0.346,0.104,240.84,1.6,0,0,0
